
02:14:18.215| ====== starting level 1: 'levels/maps/mainmenu'  ======

02:14:32.729| ====== starting level 2: 'levels/maps/hangar'  ======
02:15:24.472| ====== TestDrive started ======
02:15:27.343| Damage. Victim: Cabin_Bell_Uh1_Oracle, attacker: _ZeRon_             , weapon 'CarPart_Gun_Syfy_ParticleBeam', damage: 1.94 DMG_ENERGY|CONTINUOUS
02:33:15.969| Damage. Victim: Steven              , attacker: Baddas_Psycho       , weapon 'CarPart_Gun_Cannon_rare', damage: 10.72 DMG_BLAST|IGNORE_DAMAGE_SCALE
02:33:16.061| Damage. Victim: __Hopeless__        , attacker: _ZeRon_             , weapon 'CarPart_Gun_Shotgun_rare', damage: 23.72 DMG_DIRECT
02:33:16.093| Score:		player: 18,		nick:         Christopher,		Got:   1,		reason: PART_DETACH
02:33:16.093| Score:		player:  6,		nick:       Baddas_Psycho,		Got:   2,		reason: PART_DETACH
02:33:16.096| Damage. Victim: Prepodovatel_X      , attacker: OGDiesel            , weapon 'CarPart_Gun_SMG', damage: 5.70 DMG_DIRECT
02:33:16.130| Damage. Victim: Steven              , attacker: Baddas_Psycho       , weapon 'CarPart_Gun_CloseCombatCannon', damage: 46.63 DMG_DIRECT
02:33:16.244| Damage. Victim: Steven              , attacker: Baddas_Psycho       , weapon 'CarPart_Gun_Cannon_rare', damage: 10.72 DMG_BLAST|IGNORE_DAMAGE_SCALE
02:33:16.321| Score:		player:  5,		nick:             _ZeRon_,		Got:   2,		reason: PART_DETACH
02:33:16.321| Score:		player:  5,		nick:             _ZeRon_,		Got:   2,		reason: PART_DETACH
02:33:16.323| Damage. Victim: __Hopeless__        , attacker: _ZeRon_             , weapon 'CarPart_Gun_Shotgun_rare', damage: 16.12 DMG_DIRECT
02:33:16.437| Damage. Victim: Steven              , attacker: Baddas_Psycho       , weapon 'CarPart_Gun_CloseCombatCannon', damage: 47.06 DMG_DIRECT
02:33:16.478| Score:		player:  6,		nick:       Baddas_Psycho,		Got:   4,		reason: PART_DETACH
02:33:16.482| Damage. Victim: Prepodovatel_X      , attacker: OGDiesel            , weapon 'CarPart_Gun_SMG', damage: 15.39 DMG_DIRECT
02:33:16.588| Score:		player:  6,		nick:       Baddas_Psycho,		Got:   4,		reason: PART_DETACH
02:33:16.592| Damage. Victim: Prepodovatel_X      , attacker: OGDiesel            , weapon 'CarPart_Gun_SMG', damage: 7.88 DMG_DIRECT
02:33:16.592| Damage. Victim: Steven              , attacker: Baddas_Psycho       , weapon 'CarPart_Gun_Cannon_rare', damage: 17.87 DMG_BLAST|IGNORE_DAMAGE_SCALE
02:33:16.592| Damage. Victim: Steven              , attacker: OGDiesel            , weapon 'CarPart_Gun_SMG', damage: 7.52 DMG_DIRECT
02:33:16.651| Score:		player:  5,		nick:             _ZeRon_,		Got:   5,		reason: PART_DETACH
02:33:16.653| Damage. Victim: __Hopeless__        , attacker: _ZeRon_             , weapon 'CarPart_Gun_Shotgun_rare', damage: 18.95 DMG_DIRECT
02:33:16.653| Damage. Victim: Steven              , attacker: OGDiesel            , weapon 'CarPart_Gun_SMG', damage: 15.39 DMG_DIRECT
02:33:16.703| Damage. Victim: Steven              , attacker: Baddas_Psycho       , weapon 'CarPart_Gun_CloseCombatCannon', damage: 48.02 DMG_DIRECT
02:33:16.765| Damage. Victim: Steven              , attacker: OGDiesel            , weapon 'CarPart_Gun_SMG', damage: 7.88 DMG_DIRECT
02:33:16.766| Damage. Victim: Prepodovatel_X      , attacker: OGDiesel            , weapon 'CarPart_Gun_SMG', damage: 7.52 DMG_DIRECT
02:33:16.834| Damage. Victim: Steven              , attacker: Baddas_Psycho       , weapon 'CarPart_Gun_Cannon_rare', damage: 13.02 DMG_BLAST|IGNORE_DAMAGE_SCALE
02:33:16.881| Stripe 'PvpDestroyDetailsEpic' value increased by 1 for player 2 [OGDiesel].
02:33:16.882| Score:		player: 17,		nick:               David,		Got:   9,		reason: PART_DETACH
02:33:16.882| Score:		player: 18,		nick:         Christopher,		Got:   1,		reason: PART_DETACH
02:33:16.882| Score:		player: 23,		nick:             Matthew,		Got:  19,		reason: PART_DETACH
02:33:16.882| Score:		player:  6,		nick:       Baddas_Psycho,		Got:   9,		reason: PART_DETACH
02:33:16.882| Score:		player:  2,		nick:            OGDiesel,		Got:   4,		reason: PART_DETACH
02:33:16.883| Damage. Victim: Steven              , attacker: OGDiesel            , weapon 'CarPart_Gun_SMG', damage: 11.11 DMG_DIRECT
02:33:16.946| Stripe 'PvpDestroyDetailsVeryRare' value increased by 1 for player 6 [Baddas_Psycho].
02:33:16.946| Score:		player:  6,		nick:       Baddas_Psycho,		Got:   5,		reason: PART_DETACH
02:33:16.947| Damage. Victim: __Hopeless__        , attacker: _ZeRon_             , weapon 'CarPart_Gun_Shotgun_rare', damage: 23.31 DMG_DIRECT
02:33:16.947| Damage. Victim: Steven              , attacker: Baddas_Psycho       , weapon 'CarPart_Gun_CloseCombatCannon', damage: 62.96 DMG_DIRECT
02:33:16.978| Score:		player: 19,		nick:            Isabella,		Got:   1,		reason: PART_DETACH
02:33:16.978| Score:		player:  4,		nick:          _raftsman_,		Got:   7,		reason: PART_DETACH
02:33:16.978| Score:		player:  0,		nick:        __Hopeless__,		Got:   1,		reason: PART_DETACH
02:33:17.013| Damage. Victim: _ZeRon_             , attacker: __Hopeless__        , weapon 'CarPart_Gun_Plasma_Cutter', damage: 144.86 DMG_ENERGY|HUD_IMPORTANT
02:33:17.013| Damage. Victim: _ZeRon_             , attacker: __Hopeless__        , weapon 'CarPart_Gun_Plasma_Cutter', damage: 40.85 DMG_ENERGY
02:33:17.013| Kill. Victim: _ZeRon_              killer: __Hopeless__        
02:33:17.013| 	 assist by George               weapon: 'CarPart_TurretDeployer_rare', 49.83 sec ago, damage: 9.00 DMG_DIRECT
02:33:17.013| 	 assist by Isabella             weapon: 'CarPart_Gun_Syfy_FusionRifle', 40.06 sec ago, damage: 60.12 DMG_ENERGY
02:33:17.013| 	 assist by _raftsman_           weapon: 'CarPart_Gun_Coilgun_Legend', 24.75 sec ago, damage: 1031.04 DMG_DIRECT|HUD_IMPORTANT
02:33:17.013| 	 assist by _raftsman_           weapon: 'Cabin_CDAveraging', 13.75 sec ago, damage: 217.67 DMG_BLAST|IGNORE_DAMAGE_SCALE|HUD_IMPORTANT|CONTACT
02:33:17.013| 	 assist by _raftsman_           weapon: 'CarPart_WheelDouble_RS_epic', 23.33 sec ago, damage: 0.50 DMG_COLLISION|CONTACT
02:33:17.013| 	 assist by __Hopeless__         weapon: 'CarPart_Gun_Plasma_Cutter', 0.00 sec ago, damage: 703.75 DMG_ENERGY|HUD_IMPORTANT
02:33:17.013| 	 assist by __Hopeless__         weapon: 'CarPart_ChassisBase1x8', 2.68 sec ago, damage: 42.95 DMG_COLLISION|HUD_IMPORTANT|CONTACT
02:33:17.014| 	 assist by __Hopeless__         weapon: 'CarPart_Zubilo_Trunk', 2.14 sec ago, damage: 8.65 DMG_COLLISION|CONTACT
02:33:17.014| Score:		player:  4,		nick:          _raftsman_,		Got:   1,		reason: PART_DETACH
02:33:17.014| Score:		player:  0,		nick:        __Hopeless__,		Got:   1,		reason: PART_DETACH
02:33:17.014| Score:		player: 20,		nick:              George,		Got:   1,		reason: PART_DETACH
02:33:17.014| Score:		player:  0,		nick:        __Hopeless__,		Got:   2,		reason: PART_DETACH
02:33:17.014| Score:		player:  0,		nick:        __Hopeless__,		Got:  20,		reason: PART_DETACH
02:33:17.014| Score:		player:  4,		nick:          _raftsman_,		Got: 125,		reason: PART_DETACH
02:33:17.014| Score:		player:  0,		nick:        __Hopeless__,		Got: 240,		reason: PART_DETACH
02:33:17.014| Score:		player:  4,		nick:          _raftsman_,		Got:  49,		reason: KILL
02:33:17.014| Score:		player:  0,		nick:        __Hopeless__,		Got: 203,		reason: KILL
02:33:17.014| Stripe 'PvpAssist' value increased by 1 for player 20 [George].
02:33:17.014| Stripe 'PvpTurretRareKill' value increased by 1 for player 20 [George].
02:33:17.014| Stripe 'PvpAssist' value increased by 1 for player 19 [Isabella].
02:33:17.014| Stripe 'PvpEnergyRareKill' value increased by 1 for player 19 [Isabella].
02:33:17.014| Stripe 'PvpAssist' value increased by 1 for player 4 [_raftsman_].
02:33:17.014| Stripe 'PvpSpecialLegendaryKill' value increased by 1 for player 4 [_raftsman_].
02:33:17.014| Stripe 'PvpEnergyEpicKill' value increased by 1 for player 0 [__Hopeless__].
02:33:17.019| Stripe 'PvpDestroyDetailsCommon' value increased by 1 for player 3 [soulportal].
02:33:17.019| Score:		player:  3,		nick:          soulportal,		Got:   5,		reason: PART_DETACH
02:33:17.020| Damage. Victim: Steven              , attacker: soulportal          , weapon 'CarPart_TurretDeployer_Preepic', damage: 5.00 DMG_DIRECT
02:33:17.050| Damage. Victim: Prepodovatel_X      , attacker: OGDiesel            , weapon 'CarPart_Gun_SMG', damage: 7.88 DMG_DIRECT
02:33:17.141| Damage. Victim: Prepodovatel_X      , attacker: OGDiesel            , weapon 'CarPart_Gun_SMG', damage: 15.39 DMG_DIRECT
02:33:17.169| Damage. Victim: Steven              , attacker: soulportal          , weapon 'CarPart_TurretDeployer_Preepic', damage: 11.20 DMG_DIRECT
02:33:17.197| Damage. Victim: Steven              , attacker: Baddas_Psycho       , weapon 'CarPart_Gun_CloseCombatCannon', damage: 49.43 DMG_DIRECT|IGNORE_DAMAGE_SCALE
02:33:17.307| Damage. Victim: Steven              , attacker: soulportal          , weapon 'CarPart_TurretDeployer_Preepic', damage: 11.20 DMG_DIRECT
02:33:17.349| Damage. Victim: Steven              , attacker: OGDiesel            , weapon 'CarPart_Gun_SMG', damage: 15.39 DMG_DIRECT
02:33:17.442| Damage. Victim: Steven              , attacker: Baddas_Psycho       , weapon 'CarPart_Gun_CloseCombatCannon', damage: 31.20 DMG_DIRECT
02:33:17.482| Stripe 'PvpDestroyDetailsVeryRare' value increased by 1 for player 6 [Baddas_Psycho].
02:33:17.482| Score:		player:  6,		nick:       Baddas_Psycho,		Got:   5,		reason: PART_DETACH
02:33:17.483| Damage. Victim: Steven              , attacker: soulportal          , weapon 'CarPart_TurretDeployer_Preepic', damage: 11.20 DMG_DIRECT
02:33:17.483| Damage. Victim: Steven              , attacker: Baddas_Psycho       , weapon 'CarPart_Gun_Cannon_rare', damage: 39.52 DMG_BLAST|IGNORE_DAMAGE_SCALE
02:33:17.593| Damage. Victim: Steven              , attacker: OGDiesel            , weapon 'CarPart_Gun_SMG', damage: 15.39 DMG_DIRECT
02:33:17.593| Damage. Victim: Steven              , attacker: soulportal          , weapon 'CarPart_TurretDeployer_Preepic', damage: 11.20 DMG_DIRECT
02:33:17.683| Damage. Victim: Steven              , attacker: Baddas_Psycho       , weapon 'CarPart_Gun_CloseCombatCannon', damage: 63.96 DMG_DIRECT
02:33:17.751| Stripe 'PvpDestroyDetailsCommon' value increased by 1 for player 6 [Baddas_Psycho].
02:33:17.751| Score:		player:  6,		nick:       Baddas_Psycho,		Got:   5,		reason: PART_DETACH
02:33:17.752| Damage. Victim: Steven              , attacker: OGDiesel            , weapon 'CarPart_Gun_SMG', damage: 7.52 DMG_DIRECT
02:33:17.752| Damage. Victim: Steven              , attacker: Baddas_Psycho       , weapon 'CarPart_Gun_Cannon_rare', damage: 31.42 DMG_BLAST|IGNORE_DAMAGE_SCALE
02:33:17.787| Damage. Victim: Steven              , attacker: soulportal          , weapon 'CarPart_TurretDeployer_Preepic', damage: 11.20 DMG_DIRECT
02:33:17.831| Damage. Victim: Steven              , attacker: OGDiesel            , weapon 'CarPart_Gun_SMG', damage: 7.52 DMG_DIRECT
02:33:17.901| Damage. Victim: Steven              , attacker: soulportal          , weapon 'CarPart_TurretDeployer_Preepic', damage: 11.20 DMG_DIRECT
02:33:17.902| Damage. Victim: Steven              , attacker: Baddas_Psycho       , weapon 'CarPart_Gun_CloseCombatCannon', damage: 63.96 DMG_DIRECT
02:33:17.902| Damage. Victim: Steven              , attacker: soulportal          , weapon 'CarPart_TurretDeployer_Preepic', damage: 11.20 DMG_DIRECT
02:33:17.935| Damage. Victim: Steven              , attacker: OGDiesel            , weapon 'CarPart_Gun_SMG', damage: 15.39 DMG_DIRECT
02:33:18.007| Damage. Victim: Steven              , attacker: soulportal          , weapon 'CarPart_TurretDeployer_Preepic', damage: 11.20 DMG_DIRECT|HUD_IMPORTANT
02:33:18.040| Damage. Victim: Steven              , attacker: soulportal          , weapon 'CarPart_TurretDeployer_Preepic', damage: 11.20 DMG_DIRECT|HUD_IMPORTANT
02:33:18.040| Damage. Victim: Steven              , attacker: OGDiesel            , weapon 'CarPart_Gun_SMG', damage: 7.52 DMG_DIRECT
02:33:18.121| Damage. Victim: Steven              , attacker: Baddas_Psycho       , weapon 'CarPart_Gun_CloseCombatCannon', damage: 74.69 DMG_DIRECT|IGNORE_DAMAGE_SCALE
02:33:18.156| Damage. Victim: Steven              , attacker: soulportal          , weapon 'CarPart_TurretDeployer_Preepic', damage: 11.20 DMG_DIRECT
02:33:18.206| Damage. Victim: Steven              , attacker: soulportal          , weapon 'CarPart_TurretDeployer_Preepic', damage: 11.20 DMG_DIRECT
02:33:18.360| Damage. Victim: Christopher         , attacker: Prepodovatel_X      , weapon 'CarPart_Gun_GrenadeLauncher_Burst', damage: 110.36 DMG_BLAST|IGNORE_DAMAGE_SCALE|HUD_IMPORTANT
02:33:18.360| Damage. Victim: Steven              , attacker: soulportal          , weapon 'CarPart_TurretDeployer_Preepic', damage: 11.20 DMG_DIRECT|HUD_IMPORTANT
02:33:18.360| Damage. Victim: Steven              , attacker: soulportal          , weapon 'CarPart_TurretDeployer_Preepic', damage: 11.20 DMG_DIRECT
02:33:18.360| Damage. Victim: Christopher         , attacker: Prepodovatel_X      , weapon 'CarPart_Gun_GrenadeLauncher_Burst', damage: 3.90 DMG_BLAST|IGNORE_DAMAGE_SCALE
02:33:18.361| Damage. Victim: Prepodovatel_X      , attacker: Prepodovatel_X      , weapon 'CarPart_Gun_GrenadeLauncher_Burst', damage: 77.78 DMG_BLAST|IGNORE_DAMAGE_SCALE
02:33:18.361| Damage. Victim: Steven              , attacker: soulportal          , weapon 'CarPart_TurretDeployer_Preepic', damage: 11.20 DMG_DIRECT|HUD_IMPORTANT
02:33:18.361| Damage. Victim: Steven              , attacker: Baddas_Psycho       , weapon 'CarPart_Gun_CloseCombatCannon', damage: 63.96 DMG_DIRECT
02:33:18.361| Damage. Victim: Steven              , attacker: OGDiesel            , weapon 'CarPart_Gun_SMG', damage: 7.52 DMG_DIRECT
02:33:18.400| Damage. Victim: Steven              , attacker: Baddas_Psycho       , weapon 'CarPart_Gun_Cannon_rare', damage: 10.73 DMG_BLAST|IGNORE_DAMAGE_SCALE
02:33:18.400| Damage. Victim: Christopher         , attacker: Prepodovatel_X      , weapon 'CarPart_Gun_GrenadeLauncher_Burst', damage: 42.61 DMG_BLAST|IGNORE_DAMAGE_SCALE|HUD_IMPORTANT
02:33:18.400| Kill. Victim: Christopher          killer: Prepodovatel_X      
02:33:18.400| 	 assist by _raftsman_           weapon: 'CarPart_Gun_Coilgun_Legend', 57.43 sec ago, damage: 521.85 DMG_DIRECT
02:33:18.400| 	 assist by Ashley               weapon: 'CarPart_Gun_Syfy_FusionRifle', 43.80 sec ago, damage: 1322.64 DMG_ENERGY|HUD_IMPORTANT
02:33:18.400| 	 assist by Ashley               weapon: 'CarPart_BladeWing_double', 27.98 sec ago, damage: 6.62 DMG_COLLISION|CONTACT
02:33:18.400| 	 assist by Prepodovatel_X       weapon: 'CarPart_Gun_GrenadeLauncher_Burst', 0.00 sec ago, damage: 1468.64 DMG_BLAST|IGNORE_DAMAGE_SCALE|HUD_IMPORTANT
02:33:18.401| 	 assist by Prepodovatel_X       weapon: 'CarPart_Buggy_bumper', 2.75 sec ago, damage: 142.44 DMG_COLLISION|CONTACT
02:33:18.401| 	 assist by __Hopeless__         weapon: 'CarPart_Gun_Plasma_Cutter', 25.40 sec ago, damage: 846.72 DMG_ENERGY|HUD_IMPORTANT
02:33:18.401| 	 assist by _UNOS_               weapon: 'CarPart_Gun_BigCannon_Free_Preepic', 6.76 sec ago, damage: 214.23 DMG_DIRECT|IGNORE_DAMAGE_SCALE|HUD_IMPORTANT
02:33:18.401| Score:		player:  7,		nick:      Prepodovatel_X,		Got:  51,		reason: PART_DETACH
02:33:18.401| Score:		player:  7,		nick:      Prepodovatel_X,		Got:  10,		reason: PART_DETACH
02:33:18.401| Score:		player:  7,		nick:      Prepodovatel_X,		Got:   2,		reason: PART_DETACH
02:33:18.401| Score:		player:  7,		nick:      Prepodovatel_X,		Got:   2,		reason: PART_DETACH
02:33:18.401| Score:		player:  7,		nick:      Prepodovatel_X,		Got:  29,		reason: PART_DETACH
02:33:18.401| Score:		player:  0,		nick:        __Hopeless__,		Got:   3,		reason: PART_DETACH
02:33:18.401| Score:		player:  0,		nick:        __Hopeless__,		Got:   3,		reason: PART_DETACH
02:33:18.401| Score:		player: 16,		nick:              Ashley,		Got:   2,		reason: PART_DETACH
02:33:18.401| Score:		player:  7,		nick:      Prepodovatel_X,		Got:   2,		reason: PART_DETACH
02:33:18.401| Score:		player: 16,		nick:              Ashley,		Got:   1,		reason: PART_DETACH
02:33:18.401| Score:		player:  7,		nick:      Prepodovatel_X,		Got:  90,		reason: PART_DETACH
02:33:18.401| Score:		player: 16,		nick:              Ashley,		Got:  67,		reason: PART_DETACH
02:33:18.401| Score:		player:  0,		nick:        __Hopeless__,		Got:  88,		reason: PART_DETACH
02:33:18.401| Score:		player:  1,		nick:              _UNOS_,		Got:  29,		reason: PART_DETACH
02:33:18.402| Score:		player:  7,		nick:      Prepodovatel_X,		Got:  81,		reason: KILL
02:33:18.402| Score:		player: 16,		nick:              Ashley,		Got:  55,		reason: KILL
02:33:18.402| Score:		player:  0,		nick:        __Hopeless__,		Got:  59,		reason: KILL
02:33:18.402| Score:		player:  1,		nick:              _UNOS_,		Got:  22,		reason: KILL
02:33:18.402| Stripe 'PvpKillJoy' value increased by 1 for player 7 [Prepodovatel_X].
02:33:18.402| Stripe 'PvpAssist' value increased by 1 for player 4 [_raftsman_].
02:33:18.402| Stripe 'PvpSpecialLegendaryKill' value increased by 1 for player 4 [_raftsman_].
02:33:18.402| Stripe 'PvpAssist' value increased by 1 for player 16 [Ashley].
02:33:18.402| Stripe 'PvpEnergyRareKill' value increased by 1 for player 16 [Ashley].
02:33:18.402| Stripe 'PvpMeleeCommonKill' value increased by 1 for player 16 [Ashley].
02:33:18.402| Stripe 'PvpGrenadeLauncherEpicKill' value increased by 1 for player 7 [Prepodovatel_X].
02:33:18.402| Stripe 'PvpMeleeCommonKill' value increased by 1 for player 7 [Prepodovatel_X].
02:33:18.402| Stripe 'PvpAssist' value increased by 1 for player 0 [__Hopeless__].
02:33:18.402| Stripe 'PvpEnergyEpicKill' value increased by 1 for player 0 [__Hopeless__].
02:33:18.402| Stripe 'PvpAssist' value increased by 1 for player 1 [_UNOS_].
02:33:18.402| Stripe 'PvpCannonVeryRareKill' value increased by 1 for player 1 [_UNOS_].
02:33:18.403| Score:		player: 18,		nick:         Christopher,		Got:   4,		reason: PART_DETACH
02:33:18.416| Damage. Victim: Prepodovatel_X      , attacker: Prepodovatel_X      , weapon 'CarPart_Gun_GrenadeLauncher_Burst', damage: 77.31 DMG_BLAST|IGNORE_DAMAGE_SCALE
02:33:18.446| Damage. Victim: Steven              , attacker: OGDiesel            , weapon 'CarPart_Gun_SMG', damage: 15.39 DMG_DIRECT
02:33:18.446| Damage. Victim: Steven              , attacker: soulportal          , weapon 'CarPart_TurretDeployer_Preepic', damage: 11.20 DMG_DIRECT
02:33:18.446| Damage. Victim: Steven              , attacker: soulportal          , weapon 'CarPart_TurretDeployer_Preepic', damage: 11.20 DMG_DIRECT|HUD_IMPORTANT
02:33:18.527| Damage. Victim: Steven              , attacker: soulportal          , weapon 'CarPart_TurretDeployer_Preepic', damage: 11.20 DMG_DIRECT
02:33:18.566| Damage. Victim: Prepodovatel_X      , attacker: OGDiesel            , weapon 'CarPart_Gun_SMG', damage: 7.88 DMG_DIRECT
02:33:18.566| Damage. Victim: Steven              , attacker: OGDiesel            , weapon 'CarPart_Gun_SMG', damage: 7.52 DMG_DIRECT
02:33:18.600| Damage. Victim: Steven              , attacker: soulportal          , weapon 'CarPart_TurretDeployer_Preepic', damage: 11.20 DMG_DIRECT
02:33:18.641| Damage. Victim: Steven              , attacker: soulportal          , weapon 'CarPart_TurretDeployer_Preepic', damage: 11.20 DMG_DIRECT|HUD_IMPORTANT
02:33:18.642| Damage. Victim: Steven              , attacker: Baddas_Psycho       , weapon 'CarPart_Gun_CloseCombatCannon', damage: 63.96 DMG_DIRECT
02:33:18.676| Damage. Victim: Steven              , attacker: OGDiesel            , weapon 'CarPart_Gun_SMG', damage: 15.39 DMG_DIRECT
02:33:18.676| Damage. Victim: Steven              , attacker: Baddas_Psycho       , weapon 'CarPart_Gun_Cannon_rare', damage: 10.73 DMG_BLAST|IGNORE_DAMAGE_SCALE
02:33:18.782| Damage. Victim: Steven              , attacker: OGDiesel            , weapon 'CarPart_Gun_SMG', damage: 7.88 DMG_DIRECT
02:33:18.782| Damage. Victim: Steven              , attacker: soulportal          , weapon 'CarPart_TurretDeployer_Preepic', damage: 11.20 DMG_DIRECT
02:33:18.782| Damage. Victim: Steven              , attacker: soulportal          , weapon 'CarPart_TurretDeployer_Preepic', damage: 11.20 DMG_DIRECT|HUD_IMPORTANT
02:33:18.782| Damage. Victim: Prepodovatel_X      , attacker: OGDiesel            , weapon 'CarPart_Gun_SMG', damage: 7.52 DMG_DIRECT
02:33:18.824| Stripe 'PvpDestroyDetailsRare' value increased by 1 for player 6 [Baddas_Psycho].
02:33:18.824| Score:		player:  2,		nick:            OGDiesel,		Got:   2,		reason: PART_DETACH
02:33:18.824| Score:		player:  3,		nick:          soulportal,		Got:   2,		reason: PART_DETACH
02:33:18.824| Score:		player: 18,		nick:         Christopher,		Got:   1,		reason: PART_DETACH
02:33:18.824| Score:		player:  6,		nick:       Baddas_Psycho,		Got:  45,		reason: PART_DETACH
02:33:18.825| Damage. Victim: Steven              , attacker: Baddas_Psycho       , weapon 'CarPart_Gun_CloseCombatCannon', damage: 11.49 DMG_DIRECT
02:33:18.865| Damage. Victim: Prepodovatel_X      , attacker: OGDiesel            , weapon 'CarPart_Gun_SMG', damage: 7.88 DMG_DIRECT
02:33:18.865| Damage. Victim: Steven              , attacker: OGDiesel            , weapon 'CarPart_Gun_SMG', damage: 7.52 DMG_DIRECT
02:33:18.905| Damage. Victim: Steven              , attacker: soulportal          , weapon 'CarPart_TurretDeployer_Preepic', damage: 11.20 DMG_DIRECT|HUD_IMPORTANT
02:33:18.906| Damage. Victim: Steven              , attacker: soulportal          , weapon 'CarPart_TurretDeployer_Preepic', damage: 11.20 DMG_DIRECT
02:33:18.948| Stripe 'PvpDestroyDetailsVeryRare' value increased by 1 for player 2 [OGDiesel].
02:33:18.948| Score:		player:  2,		nick:            OGDiesel,		Got:   5,		reason: PART_DETACH
02:33:18.949| Damage. Victim: Steven              , attacker: OGDiesel            , weapon 'CarPart_Gun_SMG', damage: 7.52 DMG_DIRECT
02:33:18.949| Damage. Victim: Steven              , attacker: Baddas_Psycho       , weapon 'CarPart_Gun_Cannon_rare', damage: 6.86 DMG_BLAST|IGNORE_DAMAGE_SCALE|HUD_IMPORTANT
02:33:18.949| Damage. Victim: Steven              , attacker: Baddas_Psycho       , weapon 'CarPart_Gun_Cannon_rare', damage: 19.44 DMG_BLAST|IGNORE_DAMAGE_SCALE
02:33:19.053| Damage. Victim: Steven              , attacker: OGDiesel            , weapon 'CarPart_Gun_SMG', damage: 15.39 DMG_DIRECT
02:33:19.053| Damage. Victim: Steven              , attacker: Baddas_Psycho       , weapon 'CarPart_Gun_CloseCombatCannon', damage: 63.96 DMG_DIRECT
02:33:19.053| Damage. Victim: Steven              , attacker: soulportal          , weapon 'CarPart_TurretDeployer_Preepic', damage: 22.40 DMG_DIRECT
02:33:19.168| Stripe 'PvpDestroyDetailsVeryRare' value increased by 1 for player 2 [OGDiesel].
02:33:19.168| Score:		player:  2,		nick:            OGDiesel,		Got:   5,		reason: PART_DETACH
02:33:19.168| Damage. Victim: Steven              , attacker: OGDiesel            , weapon 'CarPart_Gun_SMG', damage: 15.39 DMG_DIRECT
02:33:19.210| Damage. Victim: Steven              , attacker: soulportal          , weapon 'CarPart_TurretDeployer_Preepic', damage: 11.20 DMG_DIRECT|HUD_IMPORTANT
02:33:19.210| Damage. Victim: Steven              , attacker: soulportal          , weapon 'CarPart_TurretDeployer_Preepic', damage: 11.20 DMG_DIRECT
02:33:19.276| Damage. Victim: Steven              , attacker: OGDiesel            , weapon 'CarPart_Gun_SMG', damage: 7.52 DMG_DIRECT
02:33:19.276| Damage. Victim: Steven              , attacker: Baddas_Psycho       , weapon 'CarPart_Gun_Cannon_rare', damage: 2.39 DMG_BLAST|IGNORE_DAMAGE_SCALE|HUD_IMPORTANT
02:33:19.276| Damage. Victim: Steven              , attacker: Baddas_Psycho       , weapon 'CarPart_Gun_Cannon_rare', damage: 22.88 DMG_BLAST|IGNORE_DAMAGE_SCALE
02:33:19.314| Damage. Victim: Steven              , attacker: Baddas_Psycho       , weapon 'CarPart_Gun_CloseCombatCannon', damage: 63.96 DMG_DIRECT
02:33:19.343| Damage. Victim: Steven              , attacker: OGDiesel            , weapon 'CarPart_Gun_SMG', damage: 7.88 DMG_DIRECT
02:33:19.343| Damage. Victim: Steven              , attacker: soulportal          , weapon 'CarPart_TurretDeployer_Preepic', damage: 11.20 DMG_DIRECT|HUD_IMPORTANT
02:33:19.379| Damage. Victim: Prepodovatel_X      , attacker: soulportal          , weapon 'CarPart_TurretDeployer_Preepic', damage: 11.20 DMG_DIRECT
02:33:19.535| Score:		player:  6,		nick:       Baddas_Psycho,		Got:   5,		reason: PART_DETACH
02:33:19.536| Damage. Victim: Steven              , attacker: Baddas_Psycho       , weapon 'CarPart_Gun_CloseCombatCannon', damage: 63.96 DMG_DIRECT
02:33:19.563| Score:		player:  6,		nick:       Baddas_Psycho,		Got:   4,		reason: PART_DETACH
02:33:19.564| Damage. Victim: Steven              , attacker: Baddas_Psycho       , weapon 'CarPart_Gun_Cannon_rare', damage: 18.49 DMG_BLAST|IGNORE_DAMAGE_SCALE
02:33:19.564| Damage. Victim: Steven              , attacker: Baddas_Psycho       , weapon 'CarPart_Gun_Cannon_rare', damage: 5.70 DMG_BLAST|IGNORE_DAMAGE_SCALE|HUD_IMPORTANT
02:33:19.653| Damage. Victim: Steven              , attacker: OGDiesel            , weapon 'CarPart_Gun_SMG', damage: 7.88 DMG_DIRECT|HUD_IMPORTANT
02:33:19.758| Score:		player:  7,		nick:      Prepodovatel_X,		Got:   1,		reason: PART_DETACH
02:33:19.759| Score:		player:  0,		nick:        __Hopeless__,		Got:   1,		reason: PART_DETACH
02:33:19.759| Score:		player:  0,		nick:        __Hopeless__,		Got:   3,		reason: PART_DETACH
02:33:19.759| Score:		player:  0,		nick:        __Hopeless__,		Got:   3,		reason: PART_DETACH
02:33:19.765| Damage. Victim: OGDiesel            , attacker: __Hopeless__        , weapon 'CarPart_Gun_Plasma_Cutter', damage: 117.45 DMG_ENERGY
02:33:19.766| Damage. Victim: Baddas_Psycho       , attacker: Steven              , weapon 'CarPart_MechaLeg', damage: 10.48 DMG_COLLISION|CONTACT
02:33:19.766| Damage. Victim: Steven              , attacker: Baddas_Psycho       , weapon 'CarPart_Gun_CloseCombatCannon', damage: 32.76 DMG_DIRECT|HUD_IMPORTANT
02:33:19.766| Damage. Victim: Steven              , attacker: Baddas_Psycho       , weapon 'CarPart_JunkBumper', damage: 99.23 DMG_DIRECT|CONTACT
